Keywords,category
Off roading capability,Powerful/Spirited Performance
Agile driving experience,Powerful/Spirited Performance
Excellent acceleration,Powerful/Spirited Performance
Fun to drive,Powerful/Spirited Performance
Stand out with exterior design,Unmissable Presence
Lovely exterior design,Unmissable Presence
High driving position,Unmissable Presence
Can personalize the way I want,Unmissable Presence
Convey a sense of dominance,Unmissable Presence
"Distinctive, unique car",Unmissable Presence
Make others envy me,Unmissable Presence
Excellent safety to driver and passenger,Safety
Purify air in cabin,Safety
Keeps me safe,Safety
Never trust autonomous driving due to safety concerns,Safety
Seamless connectivity to my devices,Sci Fi
Connect with family/friends while driving,Sci Fi
Enjoy music and infotainment system while driving,Sci Fi
Technology to prevent careless driving mistakes,Sci Fi
"Select level of driving control, Intelligent features",Sci Fi
Parking assistance,Sci Fi
Easy to use features,Sci Fi
Most advanced technology,Sci Fi
Get work done through autonomous driving,Sci Fi
Relax through autonomous driving,Sci Fi
High quality material and texture,Sophisticated
Highest quality craftsmanship,Sophisticated
Good taste,Sophisticated
Looks expensive,Sophisticated
Durable interiors that can take abuse,Tough
Tough on outside but is comfortable inside,Tough
Escape from daily pressure,Living with Intensity
Feel young,Living with Intensity
Crave excitement,Living with Intensity
Express my personality,Living with Intensity
"Partner in adventure,Terrain",Living with Intensity
Feel playful,Living with Intensity
Quiet inside,Comfort
Driver & passenger comfort,Comfort
Relaxed and comfortable,Comfort
Good suspension,Comfort
Personal space,Comfort
Separate AC outlet for all,Comfort
Basic necessities; no extra accessories,Minimalistic
Get from point A to point B,Minimalistic
Compact size ,Minimalistic
Warranty/ Guarantee,Assurance
Long term performance,Assurance
Family to feel at ease,Assurance
Important to have own vehicle,Assurance
Internationally acclaimed,Assurance
Established proven brand,Assurance
Good sales experience,Assurance
Recommended by friends,Assurance
Show contribution to environment,Environment Conscious
Feel responsible for environment,Environment Conscious
Generate low/ no exhaust emissions,Environment Conscious
Easy to keep clean,Convenience
Easy to get people in and out,Convenience
Rear seat view,Convenience
Multiple seat configurations,Convenience
Easy maintenance,Convenience
Easy to park,Convenience
Taking care of kids,Convenience
Various transmission options,Convenience
Making life easier,Convenience
"Additional seating,",Convenience
Easy to load/ unload cargo,Convenience
Haul big items,Convenience
Being passenger than driver,Convenience
Roomy to seat 7-8 adults comfortably,Spacious
Roomy to seat 4-5 adults comfortably,Spacious
Owning luxury brand vehicle important for personality,Status
Luxury brand worth extra price premium,Status
Low maintenance cost,Low Cost of Ownership
Good resale value,Low Cost of Ownership
Fuel efficient,Low Cost of Ownership
Lowest purchase price,Low Cost of Ownership
Good 2-wheeler better than inexpensive 4-wheeler,Low Cost of Ownership
Stability in turning,Control
Maneuverability and control,Control
Empowerment to be better driver,Control
Sense of control when driving,Control
Easy to drive in hazardous weather conditions,Control
customer service ,Service
service was good,Service
happy with the car servicing,Service
got first service free,Service
service center was nearby and cheap,Service
found service center on my way,Service
satisfied with the service,Service
paid extra for the services,Service
